,,,,,,,,,
,SOMEKA INFO LISTS,,,,,,,,
,FORTUNE 500 GLOBAL COMPANIES - 2023 VERSION,,,,,,,,
,,,,,,,,,
DISCLAIMER:,,"This list is officially published by Fortune Magazine at: www.fortune.com/global500/. Time Inc. has full rights to sell or distribute the list.
This is a much more limited version of the original data. You can find the full version here: www.fortunedatastore.com
Someka is not associated with Time Inc. nor Fortune Magazine",,,,,,,
,,,,,,,,,
,,,COMPANY INFO,,KEY FINANCIALS,,,,
Rank,Company Name,Country,Number of Employees,"Previous 
Rank","Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)"
1,Walmart,U.S.,"2,100,000",1,"$611,289",6.7%,"$11,680 ",-14.6%,"$243,197"
2,Saudi Aramco,Saudi Arabia,"70,496",6,"$603,651",50.8%,"$159,069 ",51.0%,"$663,541"
3,State Grid,China,"870,287",3,"$530,009",15.1%,"$8,192 ",14.8%,"$710,763"
4,Amazon,U.S.,"1,541,000",2,"$513,983",9.4%,"-$2,722 ",-108.2%,"$462,675"
5,China National Petroleum,China,"1,087,049",4,"$483,019",17.3%,"$21,080 ",118.7%,"$637,223"
6,Sinopec Group,China,"527,487",5,"$471,154",17.4%,"$9,657 ",16.1%,"$368,751"
7,Exxon Mobil,U.S.,"62,000",12,"$413,680",44.8%,"$55,740 ",141.9%,"$369,067"
8,Apple,U.S.,"164,000",7,"$394,328",7.8%,"$99,803 ",5.4%,"$352,755"
9,Shell,Britain,"93,000",15,"$386,201",41.6%,"$42,309 ",110.5%,"$443,024"
10,UnitedHealth Group,U.S.,"400,000",11,"$324,162",12.7%,"$20,120 ",16.4%,"$245,705"
11,CVS Health,U.S.,"259,500",10,"$322,467",10.4%,"$4,149 ",-47.5%,"$228,275"
12,Trafigura Group,Singapore,"12,347",19,"$318,476",37.7%,"$6,994 ",125.6%,"$98,634"
13,China State Construction Engineering,China,"382,492",9,"$305,885",4.1%,"$4,234 ",-4.7%,"$386,249"
14,Berkshire Hathaway,U.S.,"383,000",14,"$302,089",9.4%,"-$22,819 ",-125.4%,"$948,452"
15,Volkswagen,Germany,"675,805",8,"$293,685",-0.7%,"$15,223 ",-16.3%,"$602,612"
16,Uniper,Germany,"7,008",-,"$288,309",-,"-$19,961 ",-,"$129,616"
17,Alphabet,U.S.,"190,234",17,"$282,836",9.8%,"$59,972 ",-21.1%,"$365,264"
18,McKesson,U.S.,"48,000",16,"$276,711",4.8%,"$3,560 ",219.6%,"$62,320"
