Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions)
1,Walmart,U.S.,2100000,1,611289,0.067,11680,-0.146,243197
2,Saudi Aramco,Saudi Arabia,70496,6,603651,0.508,159069,0.51,663541
3,State Grid,China,870287,3,530009,0.151,8192,0.148,710763
4,Amazon,U.S.,1541000,2,513983,0.094,-2722,-1.082,462675
5,China National Petroleum,China,1087049,4,483019,0.173,21080,1.187,637223
6,Sinopec Group,China,527487,5,471154,0.174,9657,0.161,368751
7,Exxon Mobil,U.S.,62000,12,413680,0.448,55740,1.419,369067
8,Apple,U.S.,164000,7,394328,0.078,99803,0.054,352755
9,Shell,Britain,93000,15,386201,0.416,42309,1.105,443024
10,UnitedHealth Group,U.S.,400000,11,324162,0.127,20120,0.164,245705
11,CVS Health,U.S.,259500,10,322467,0.104,4149,-0.475,228275
12,Trafigura Group,Singapore,12347,19,318476,0.377,6994,1.256,98634
13,China State Construction Engineering,China,382492,9,305885,0.041,4234,-0.047,386249
14,Berkshire Hathaway,U.S.,383000,14,302089,0.094,-22819,-1.254,948452
15,Volkswagen,Germany,675805,8,293685,-0.007,15223,-0.163,602612
16,Uniper,Germany,7008,-,288309,-,-19961,-,129616
17,Alphabet,U.S.,190234,17,282836,0.098,59972,-0.211,365264
18,McKesson,U.S.,48000,16,276711,0.048,3560,2.196,62320
19,Toyota Motor,Japan,375235,13,274491,-0.017,18110,-0.286,559765
20,TotalEnergies,France,101279,27,263310,0.426,20526,0.28,303864
21,Glencore,Switzerland,81706,23,255984,0.256,17320,2.482,132583
22,BP,Britain,67600,35,248891,0.516,-2487,-1.329,288120
23,Chevron,U.S.,43846,37,246252,0.516,35465,1.27,257709
24,AmerisourceBergen,U.S.,41500,21,238587,0.115,1699,0.103,56561
25,Samsung Electronics,South Korea,270372,18,234129,-0.042,42398,0.236,356470
26,Costco Wholesale,U.S.,304000,26,226954,0.158,5844,0.167,64166
27,Hon Hai Precision Industry,Taiwan,767062,20,222535,0.037,4751,-0.048,134618
28,Industrial & Commercial Bank of China,China,427587,22,214766,0.028,53589,-0.008,5742860
29,China Construction Bank,China,376682,24,202753,0.012,48145,0.027,5016806
30,Microsoft,U.S.,221000,33,198270,0.18,72738,0.187,364840
31,Stellantis,Netherlands,272367,29,188888,0.069,17669,0.052,198629
32,Agricultural Bank of China,China,452258,28,187061,0.031,38524,0.03,4919030
33,Ping An Insurance,China,344223,25,181566,-0.09,12454,-0.209,1614738
34,Cardinal Health,U.S.,46035,36,181364,0.116,-933,-2.527,43878
35,Cigna,U.S.,70231,30,180516,0.037,6668,0.243,143932
36,Marathon Petroleum,U.S.,17800,49,180012,0.276,14516,0.491,89904
37,Phillips 66,U.S.,13000,74,175702,0.53,11024,7.371,76442
38,Sinochem Holdings,China,223448,31,173834,0.009,-1,-,229659
39,China Railway Engineering Group,China,314792,34,171669,0.031,2035,0.098,234956
40,Valero Energy,U.S.,9743,82,171189,0.58,11528,11.396,60982
41,Gazprom,Russia,468000,52,167832,0.219,17641,-0.379,352199
42,China National Offshore Oil,China,81775,65,164762,0.298,16988,0.85,219416
43,China Railway Construction,China,342098,39,163037,0.031,1800,0.056,221617
44,China Baowu Steel Group,China,245675,44,161698,0.073,2493,-0.168,179760
45,Mitsubishi,Japan,79706,41,159371,0.037,8723,0.045,166889
46,Ford Motor,U.S.,173000,53,158057,0.159,-1981,-1.11,255884
47,Mercedes-Benz Group,Germany,168797,38,157782,-0.003,15252,-0.439,277436
48,Home Depot,U.S.,471600,43,157403,0.041,17105,0.041,76445
49,Bank of China,China,306182,42,156924,0.03,33811,0.007,4192115
50,General Motors,U.S.,167000,64,156735,0.234,9934,-0.008,264037
51,Elevance Health,U.S.,102300,50,156595,0.13,6025,-0.013,102772
52,JD.com,China,450679,46,155533,0.054,1543,-,86303
